Alphabetic Code;Unicode symbols
AFN;؋
ALL;L
ANG;ƒ
AOA;Kz
ARS;$
AUD;$
AWG;ƒ
AZN;₼
BAM;KM
BBD;$
BDT;৳
BGN;лв
BMD;$
BND;$
BOB;Bs.
BRL;R$
BSD;$
BTN;Nu.
BWP;P
BYN;Br
BZD;BZ$
CAD;$
CDF;Fr
CHF;Fr
CLP;$
CNY;¥
COP;$
CRC;₡
CUP;₱
CUC;$
CZK;Kč
DJF;Fr
DKK;kr
DOP;RD$
EGP;£
ETB;Br
EUR;€
FJD;$
FKP;£
GBP;£
GEL;₾
GGP;£
GHS;₵
GIP;£
GMD;D
GNF;Fr
GTQ;Q
GYD;$
HKD;$
HNL;L
HRK;kn
HTG;G
HUF;Ft
IDR;Rp
ILS;₪
IMP;£
INR;₹
IRR;﷼
ISK;kr
JEP;£
JMD;J$
JPY;¥
KGS;с
KES;Sh
KHR;៛
KMF;Fr
KPW;₩
KRW;₩
KYD;$
KZT;₸
LAK;₭
LRD;$
LSL;L
MDL;L
MGA;Ar
MKD;ден
MMK;Ks
MNT;₮
MOP;P
MRO;UM
MRU;UM
MUR;₨
MWK;MK
MXN;$
MYR;RM
MZN;MT
NAD;$
NGN;₦
NIO;C$
NOK;kr
NPR;₨
NZD;$
PAB;B/.
PEN;S/.
PGK;K
PHP;₱
PKR;₨
PLN;zł
QAR;﷼
PRB;р.
PYG;₲
RON;lei
RSD;din.
RUB;₽
RWF;Fr
SBD;$
SCR;₨
SEK;kr
SGD;$
SHP;£
SLL;Le
SOS;Sh
SRD;$
SVC;$
SYP;£
SSP;£
STD;Db
SZL;L
THB;฿
TJS;ЅМ
TMT;m
TOP;T$
TRY;₺
TTD;TT$
TVD;$
TWD;NT$
TZS;Sh
UAH;₴
USD;$
UYU;$U
UGX;Sh
UZS;сўм
VEF;Bs
VES;Bs
VND;₫
VUV;Vt
WST;T
XAF;Fr
XCD;$
XOF;Fr
YER;﷼
ZAR;R
ZWD;Z$
ZMW;ZK
ZWG;ZiG
